# Cassini Titan flyby list
# Source: https://www.sciencedirect.com/science/article/pii/S037015731500441X
# Paper: The Interaction between Saturn's Moons and their Plasma Environments
#        Author: Sven Simon
#        Year: 2015
#        Journal: Physics Reports, vol 602
#-------------------------------------------------------------------------------------
Flyby	SLT(h)	EventTime(UTC)	Alt.(km)	Long.(deg)	Lat.(deg)	Vx	Vy	Vz	V(km/s)	Description
166TI(T83)	13.7	2012 MAY 22 (143), 01:10:11	953.4	133.9	72.6	-2.9	-5.1	-0.5	5.9	outb, southb, wake
167TI(T84)	13.7	2012 JUN 07 (159), 00:07:20	959.0	287.6	38.8	-2.6	-5.1	-1.2	5.9	outb, southb, upstr.
169TI(T85)	13.6	2012 JUL 24 (206), 20:03:07	1012.0	155.0	61.7	-2.4	-5.0	-1.9	5.9	outb, southb, far side
172TI(T86)	13.5	2012 SEP 26 (270), 14:35:38	956.1	205.7	62.3	-2.4	-4.6	-2.7	5.9	outb, southb, far side
174TI(T87)	13.4	2012 NOV 13 (318), 10:22:08	973.6	129.8	11.6	-2.6	-4.1	-3.2	5.9	outb, southb, wake
175TI(T88)	13.3	2012 NOV 29 (334), 08:56:59	1014.6	153.2	25.7	-3.1	-3.5	-3.5	5.9	outb, southb, far side
181TI(T89)	13.1	2013 FEB 17 (048), 01:56:35	1978.1	160.1	20.8	-3.4	-2.8	-3.8	5.8	outb, southb, far side
185TI(T90)	13.0	2013 APR 05 (095), 21:43:30	1400.0	134.7	-16.6	-3.8	-2.2	-3.9	5.8	outb, southb, wake
190TI(T91)	12.9	2013 MAY 23 (143), 17:32:54	969.7	244.7	45.9	-3.8	-1.8	-4.1	5.9	outb, southb, upstr.
194TI(T92)	12.8	2013 JUL 10 (191), 13:21:46	963.5	239.7	36.8	-3.2	-1.5	-4.7	5.9	outb, southb, upstr.
195TI(T93)	12.7	2013 JUL 26 (207), 11:56:22	1399.4	254.1	27.9	-2.5	-1.2	-5.1	5.8	outb, southb, upstr.
197TI(T94)	12.6	2013 SEP 12 (255), 07:43:56	1396.8	211.1	16.9	-1.9	-0.8	-5.5	5.8	outb, southb, far side
198TI(T95)	12.5	2013 OCT 14 (287), 04:56:27	960.8	210.4	8.0	-1.5	-0.0	-5.7	5.9	outb, southb, far side
199TI(T96)	12.4	2013 DEC 01 (335), 00:41:18	1400.0	148.4	-13.7	-1.5	0.7	-5.6	5.8	inb, southb, far side
200TI(T97)	12.3	2014 JAN 01 (001), 21:59:41	1399.9	181.7	-14.4	-1.7	1.4	-5.4	5.8	inb, southb, far side
201TI(T98)	12.3	2014 FEB 02 (033), 19:12:38	1235.5	181.8	-23.0	-1.7	2.2	-5.1	5.9	inb, southb, far side
202TI(T99)	12.2	2014 MAR 06 (065), 16:26:47	1499.7	181.9	-31.4	-1.6	3.0	-4.7	5.8	inb, southb, far side
203TI(T100)	12.1	2014 APR 07 (097), 13:41:14	963.4	192.7	-37.1	-1.6	3.7	-4.3	5.9	inb, southb, far side
204TI(T101)	24.0	2014 MAY 17 (137), 16:12:15	2991.7	160.9	-37.1	-1.5	-3.7	4.0	5.7	outb, northb, far side
205TI(T102)	23.9	2014 JUN 18 (169), 13:28:25	3658.6	177.7	-36.6	-1.6	-3.3	4.3	5.6	outb, northb, far side
206TI(T103)	23.8	2014 JUL 20 (201), 10:40:58	5103.2	178.0	-31.5	-1.6	-2.8	4.5	5.6	outb, northb, far side
207TI(T104)	23.8	2014 AUG 21 (233), 08:09:09	964.0	359.1	34.2	-1.6	-3.2	4.6	5.8	outb, northb, inner fl.
208TI(T105)	23.7	2014 SEP 22 (265), 05:23:19	1400.0	359.7	43.5	-1.6	-3.8	4.0	5.8	outb, northb, inner fl.
